NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
54;1;1;3:34.536;0;;2:10.726;0;31.225;0;52.585;0;97.2;3:34.536;13:43:34.536;2:10.726;0:31.225;0:52.585;262.8;Francesco CASTELLACCI;0:01:34.938;LMGTE;;Spirit Of Race;Ferrari;
54;1;2;1:55.827;0;;33.963;0;30.379;2;51.485;0;180.0;5:30.363;13:45:30.363;0:33.963;0:30.379;0:51.485;265.4;Francesco CASTELLACCI;;LMGTE;;Spirit Of Race;Ferrari;
54;1;3;1:56.046;0;;33.970;0;30.480;0;51.596;0;179.6;7:26.409;13:47:26.409;0:33.970;0:30.480;0:51.596;266.0;Francesco CASTELLACCI;;LMGTE;;Spirit Of Race;Ferrari;
54;1;4;1:55.802;0;;33.926;0;30.420;0;51.456;2;180.0;9:22.211;13:49:22.211;0:33.926;0:30.420;0:51.456;267.3;Francesco CASTELLACCI;;LMGTE;;Spirit Of Race;Ferrari;
54;1;5;1:55.790;2;;33.742;2;30.532;0;51.516;0;180.0;11:18.001;13:51:18.001;0:33.742;0:30.532;0:51.516;267.3;Francesco CASTELLACCI;;LMGTE;;Spirit Of Race;Ferrari;
55;1;1;2:13.531;0;;51.245;0;30.500;0;51.786;0;156.1;2:13.531;13:42:13.531;0:51.245;0:30.500;0:51.786;266.0;Matthew GRIFFIN;0:00:13.325;LMGTE;;Spirit Of Race;Ferrari;
55;1;2;1:54.949;2;;33.824;0;30.243;0;50.882;2;181.4;4:08.480;13:44:08.480;0:33.824;0:30.243;0:50.882;267.3;Matthew GRIFFIN;;LMGTE;;Spirit Of Race;Ferrari;
55;1;3;1:55.271;0;;33.600;2;30.176;2;51.495;0;180.9;6:03.751;13:46:03.751;0:33.600;0:30.176;0:51.495;266.7;Matthew GRIFFIN;;LMGTE;;Spirit Of Race;Ferrari;
55;1;4;1:56.420;0;;33.657;0;30.321;0;52.442;0;179.1;8:00.171;13:48:00.171;0:33.657;0:30.321;0:52.442;268.0;Matthew GRIFFIN;;LMGTE;;Spirit Of Race;Ferrari;
66;2;1;3:03.106;0;;1:27.949;0;42.193;0;52.964;0;113.9;3:03.106;13:43:03.106;1:27.949;0:42.193;0:52.964;225.0;Miguel MOLINA;0:00:51.285;LMGTE;;JMW Motorsport;Ferrari;
66;2;2;1:54.999;0;;33.921;0;30.241;0;50.837;0;181.3;4:58.105;13:44:58.105;0:33.921;0:30.241;0:50.837;266.0;Miguel MOLINA;;LMGTE;;JMW Motorsport;Ferrari;
66;2;3;1:54.562;2;;33.597;2;30.146;0;50.819;2;182.0;6:52.667;13:46:52.667;0:33.597;0:30.146;0:50.819;268.0;Miguel MOLINA;;LMGTE;;JMW Motorsport;Ferrari;
66;2;4;1:55.032;0;;33.750;0;30.154;0;51.128;0;181.2;8:47.699;13:48:47.699;0:33.750;0:30.154;0:51.128;268.7;Miguel MOLINA;;LMGTE;;JMW Motorsport;Ferrari;
66;2;5;1:55.003;0;;33.838;0;30.106;2;51.059;0;181.3;10:42.702;13:50:42.702;0:33.838;0:30.106;0:51.059;269.3;Miguel MOLINA;;LMGTE;;JMW Motorsport;Ferrari;
77;2;1;2:56.113;0;;1:30.038;0;33.512;0;52.563;0;118.4;2:56.113;13:42:56.113;1:30.038;0:33.512;0:52.563;252.3;Dennis OLSEN;0:00:53.217;LMGTE;;Proton Competition;Porsche;
77;2;2;1:56.457;0;;33.791;0;30.210;0;52.456;0;179.0;4:52.570;13:44:52.570;0:33.791;0:30.210;0:52.456;266.0;Dennis OLSEN;;LMGTE;;Proton Competition;Porsche;
77;2;3;1:56.793;0;;33.812;0;30.183;2;52.798;0;178.5;6:49.363;13:46:49.363;0:33.812;0:30.183;0:52.798;267.3;Dennis OLSEN;;LMGTE;;Proton Competition;Porsche;
77;2;4;1:55.009;0;;33.610;2;30.279;0;51.120;0;181.3;8:44.372;13:48:44.372;0:33.610;0:30.279;0:51.120;267.3;Dennis OLSEN;;LMGTE;;Proton Competition;Porsche;
77;2;5;1:54.830;2;;33.630;0;30.194;0;51.006;2;181.6;10:39.202;13:50:39.202;0:33.630;0:30.194;0:51.006;268.0;Dennis OLSEN;;LMGTE;;Proton Competition;Porsche;
80;1;1;2:25.204;0;;1:00.403;0;31.530;0;53.271;0;143.6;2:25.204;13:42:25.204;1:00.403;0:31.530;0:53.271;262.8;Riccardo PERA;0:00:20.105;LMGTE;;EbiMotors;Porsche;
80;1;2;1:55.183;2;;33.830;0;30.228;0;51.125;2;181.0;4:20.387;13:44:20.387;0:33.830;0:30.228;0:51.125;267.3;Riccardo PERA;;LMGTE;;EbiMotors;Porsche;
80;1;3;2:38.270;0;B;33.541;2;30.129;2;1:34.600;0;131.7;6:58.657;13:46:58.657;0:33.541;0:30.129;1:34.600;268.0;Riccardo PERA;;LMGTE;;EbiMotors;Porsche;
80;1;4;3:10.263;0;B;1:37.351;0;30.807;0;1:02.105;0;109.6;10:08.920;13:50:08.920;1:37.351;0:30.807;1:02.105;268.0;Riccardo PERA;0:01:10.513;LMGTE;;EbiMotors;Porsche;
83;2;1;2:42.177;0;;1:15.363;0;32.034;0;54.780;0;128.5;2:42.177;13:42:42.177;1:15.363;0:32.034;0:54.780;252.9;Andrea BERTOLINI;0:00:39.745;LMGTE;;Krohn Racing;Ferrari;
83;2;2;1:55.666;0;;34.179;0;30.346;0;51.141;0;180.2;4:37.843;13:44:37.843;0:34.179;0:30.346;0:51.141;265.4;Andrea BERTOLINI;;LMGTE;;Krohn Racing;Ferrari;
83;2;3;1:55.117;0;;33.723;2;30.207;2;51.187;0;181.1;6:32.960;13:46:32.960;0:33.723;0:30.207;0:51.187;265.4;Andrea BERTOLINI;;LMGTE;;Krohn Racing;Ferrari;
83;2;4;1:54.905;2;;33.740;0;30.300;0;50.865;2;181.4;8:27.865;13:48:27.865;0:33.740;0:30.300;0:50.865;266.7;Andrea BERTOLINI;;LMGTE;;Krohn Racing;Ferrari;
86;2;1;2:38.551;0;;1:16.003;0;30.760;0;51.788;0;131.5;2:38.551;13:42:38.551;1:16.003;0:30.760;0:51.788;264.7;Benjamin BARKER;0:00:41.904;LMGTE;;Gulf Racing;Porsche;
86;2;2;1:53.586;0;;33.389;2;30.094;0;50.103;2;183.5;4:32.137;13:44:32.137;0:33.389;0:30.094;0:50.103;267.3;Benjamin BARKER;;LMGTE;;Gulf Racing;Porsche;
86;2;3;1:53.829;0;;33.412;0;30.008;2;50.409;0;183.1;6:25.966;13:46:25.966;0:33.412;0:30.008;0:50.409;268.7;Benjamin BARKER;;LMGTE;;Gulf Racing;Porsche;
88;2;1;3:16.530;0;;1:54.695;0;30.786;0;51.049;0;106.1;3:16.530;13:43:16.530;1:54.695;0:30.786;0:51.049;260.9;Matteo CAIROLI;0:01:20.177;LMGTE;;Proton Competition;Porsche;
88;2;2;1:53.377;3;;33.384;0;29.956;0;50.037;3;183.9;5:09.907;13:45:09.907;0:33.384;0:29.956;0:50.037;268.7;Matteo CAIROLI;;LMGTE;;Proton Competition;Porsche;
88;2;3;1:53.970;0;;33.260;3;29.954;3;50.756;0;182.9;7:03.877;13:47:03.877;0:33.260;0:29.954;0:50.756;268.7;Matteo CAIROLI;;LMGTE;;Proton Competition;Porsche;
88;2;4;2:05.129;0;B;33.427;0;30.112;0;1:01.590;0;166.6;9:09.006;13:49:09.006;0:33.427;0:30.112;1:01.590;270.0;Matteo CAIROLI;;LMGTE;;Proton Competition;Porsche;
